
fips,year,ab_res_agi_rate,ab_occ_cdc_rate,afdc_15,poverty_rate,popstatecensus,beer_pc,ln_income_pc,unemployment_rate,ln_lag_police_pc,ln_lag_prison_pc,ear_res_murd,ear_res_prop,ear_res_viol,pct_msa_ucr_hybrid,age_bm_1519,age_bm_2039,age_wm_1519,age_wm_2039,age_nm_1519,age_nm_2039,shalll,violent_rate,property_rate,murder_rate,ln_violent_rate,ln_property_rate,ln_murder_rate,vs_murder_rate,ln_vs_murder_rate,state
1,1970,0,0,,,3444354,,,,,,0,0,0,,,,,,,,,,,,,,,12.6920983863649,-2.06419056045628,Alabama
1,1971,0,0,,,3497076,,,,,,0,0,0,,,,,,,,,,,,,,,14.3863576225859,-1.93888981578157,Alabama
1,1972,0,0,,,3539400,,,,,,0,0,0,,,,,,,,,,,,,,,13.4989048378042,-2.00256162695998,Alabama
1,1973,0.361449851004674,0.427054633425173,,,3579780,,,,,,0,0,0,,,,,,,,,350.098897993784,2232.24074597344,13.2240745973439,1.25304549427772,3.10559099279573,-2.02313118442782,14.0228908329122,-1.96447913213359,Alabama
1,1974,0.745879698476642,0.570553901532354,,,3626499,,,,,,0,0,0,,,,,,,,,372.882303606374,2627.22952194576,14.9846239865809,1.31609264393323,3.2685149702447,-1.89814557818822,15.1348907475919,-1.88816746206759,Alabama
1,1975,1.15641715692365,0.472919464242675,,,3678814,,,,,,0,0,0,,,,,,,,,392.944106253459,3079.57941339236,15.9656889872717,1.36849719249284,3.42737812656178,-1.83472820464407,15.8728950747276,-1.8405572437186,Alabama
1,1976,1.55242005036741,1.25539034739711,,,3735139,,,6.8,0.455956917393998,,0,0,0,61.6487846374512,1.57608783245087,2.93673777580261,3.61326265335083,10.8575296401978,0.0167244747281075,0.057692751288414,,388.758514404297,3419.5087890625,15.0886764526367,1.35778817927013,3.53208200482384,-1.89122562728461,13.7797508835095,-1.98196999868577,Alabama
1,1977,2.18170082297886,1.78182991770211,,,3780403,0.97,9.18188656955845,7.3,0.571705924300308,,0,0,0,61.7891960144043,1.54572117328644,3.03796005249023,3.57806897163391,11.0853700637817,0.0178185682743788,0.0642155855894089,1,414.444458007813,3298.1572265625,14.2005424499512,1.42176878204018,3.49594898930091,-1.95189002140972,14.1000224966651,-1.95899379309708,Alabama
1,1978,2.7412954322812,2.20167034718648,,,3831836,0.95,9.21828419621264,6.4,0.47698165414908,,0,0,0,61.8570671081543,1.51725196838379,3.12446284294128,3.53557705879211,11.2608318328857,0.0189881455153227,0.0707621425390244,1,419.080718994141,3519.6953125,13.3351144790649,1.4328933621441,3.56095951990875,-2.0147694435342,13.0591145190505,-2.03568386542993,Alabama
1,1979,2.91839049246841,2.44397233359424,,18.9,3866248,0.96,9.20675267666938,7.2,0.611950487238959,0.383876886392489,0,0,0,61.9016838073731,1.48306941986084,3.21571636199951,3.48403096199036,11.4353618621826,0.0199258793145418,0.0775584429502487,1,413.319183349609,3830.51196289063,13.1599893569946,1.4190499495253,3.64558355902633,-2.02798906883026,13.5797901741698,-1.99658751506897,Alabama
1,1980,3.23449285860511,2.82191392532636,,21.2,3893888,0.95,9.16984700468186,8.9,0.650140971311266,0.345896594548603,0,0,0,62.021427154541,1.45673823356628,3.36133480072022,3.39820981025696,11.5716428756714,0.0212838463485241,0.0860841870307922,1,448.534301757813,4485.10986328125,13.1815223693848,1.50081497365159,3.80334808391967,-2.02635415756091,15.8281549784165,-1.84337987110417,Alabama
1,1981,3.28654514735029,2.19075933326835,,24.1,3918531,1,9.17153321466103,10.6,0.701232767878004,0.518987631549487,0,0,0,61.8795700073242,1.42663562297821,3.43833899497986,3.26306867599487,11.7381563186646,0.0244735255837441,0.0966691523790359,1,470.454559326172,4428.2685546875,11.8743619918823,1.54852918883269,3.7905937552081,-2.13078856451012,14.0614313567367,-1.96173450132085,Alabama
1,1982,3.39244282399735,2.66506463374213,,21.6,3925266,1,9.1649743904098,14.1,0.687893942975319,0.669903423460991,3.48643030356254e-05,0.0023048589358946,0.000492499435035169,61.8769721984863,1.38061118125916,3.49155116081238,3.13014459609985,11.8674936294556,0.026852011680603,0.105497322976589,1,447.704803466797,4185.84814453125,10.5757036209106,1.49896390841011,3.73429443937255,-2.24661092701286,12.9419563448451,-2.04469572249693,Alabama
1,1983,3.35669900611232,2.90326950102436,,23,3934102,1.01,9.19974224098436,13.8,0.686176662006636,0.855349903151812,0.000106809486478167,0.00706111345739399,0.00150881007697592,59.9421577453613,1.33765995502472,3.54329299926758,3.0173032283783,11.9358158111572,0.0286214742809534,0.114206291735172,1,416.039398193359,3685.021484375,9.19424057006836,1.4256097769843,3.60686144884223,-2.38659292296113,10.650442069602,-2.23956878581131,Alabama
1,1984,3.23893476535454,2.7027711636861,,19.1,3951820,1.03,9.2483016857705,11,0.861406443849382,0.91839775935157,0.000322946716553822,0.0166914004743688,0.00387776558106572,63.5321311950684,1.2964106798172,3.59174990653992,2.92433834075928,12.0216083526611,0.0306439995765686,0.122829042375088,1,431.177947998047,3470.85205078125,9.37343311309814,1.46135069129257,3.54698520458647,-2.36729076270303,10.7291956089249,-2.23220159870502,Alabama
1,1985,3.28445158698272,2.6201955269854,1855.67010309278,20.6,3972523,1.07,9.28248811292595,9.2,0.875640795165749,0.975483268090334,0.000688523767463474,0.0312464776333031,0.00762999496493226,63.49462890625,1.26226961612701,3.62529945373535,2.88184332847595,12.0580425262451,0.0327751077711582,0.132308721542358,1,457.547882080078,3484.5810546875,9.84829616546631,1.5207113535353,3.55093291611728,-2.31787172389178,11.378147964759,-2.17347551528304,Alabama
